Date,High,Low,Open,Close,Volume,Adj Close
2020-01-23,38.73814010620117,38.074005126953125,38.13093185424805,38.62428665161133,27148510.0,36.024600982666016
2020-01-24,38.870967864990234,37.609107971191406,38.842506408691406,37.779884338378906,34143698.0,35.237030029296875
2020-01-27,38.35863494873047,37.23908996582031,37.390892028808594,38.10246658325195,31964026.0,35.537899017333984
2020-01-28,37.466793060302734,36.00569152832031,37.305503845214844,36.18595886230469,70202408.0,33.75038528442383
2020-01-29,36.41366195678711,35.62618637084961,36.16698455810547,35.65464782714844,34165726.0,33.25484085083008
2020-01-30,35.265655517578125,34.810245513916016,35.199241638183594,35.1707763671875,32316589.0,33.13862609863281
2020-01-31,35.531307220458984,35.00948715209961,35.04743957519531,35.332069396972656,33894005.0,33.29059982299805
2020-02-03,36.09108352661133,35.38899230957031,35.54079818725586,35.588233947753906,20875735.0,33.53196334838867
2020-02-04,36.28083419799805,35.70208740234375,36.129032135009766,35.75901412963867,31150865.0,33.69287872314453
2020-02-05,36.593929290771484,35.882354736328125,35.91081619262695,36.214420318603516,29443490.0,34.121971130371094
2020-02-06,36.52751541137695,36.08159255981445,36.47058868408203,36.299808502197266,21047748.0,34.202423095703125
2020-02-07,36.43263626098633,35.986717224121094,36.39468765258789,36.10057067871094,21903596.0,34.01469421386719
2020-02-10,36.26185989379883,35.7874755859375,36.25237274169922,35.87286376953125,19998385.0,33.80014419555664
2020-02-11,36.17647171020508,35.8254280090332,35.948768615722656,36.138519287109375,16027335.0,34.050453186035156
2020-02-12,36.2333984375,35.7874755859375,36.138519287109375,35.806453704833984,22944315.0,33.73757553100586
2020-02-13,35.65464782714844,35.0,35.65464782714844,35.0379524230957,22099745.0,33.01347732543945
2020-02-14,35.14231491088867,34.554080963134766,35.07590103149414,34.639469146728516,21006747.0,32.63801956176758
2020-02-18,34.7912712097168,34.411766052246094,34.67741775512695,34.45920181274414,17988513.0,32.46815872192383
2020-02-19,34.629981994628906,34.35483932495117,34.53510284423828,34.37381362915039,17750941.0,32.38771057128906
2020-02-20,34.2125244140625,33.5958251953125,33.880455017089844,34.013282775878906,42953135.0,32.048004150390625
2020-02-21,33.98482131958008,33.709678649902344,33.927894592285156,33.88994216918945,32425256.0,31.93179702758789
2020-02-24,33.58633804321289,32.82732391357422,33.244781494140625,32.89373779296875,37969296.0,30.993152618408203
2020-02-25,32.96015167236328,31.982921600341797,32.90322494506836,32.191650390625,41878898.0,30.33163070678711
2020-02-26,33.406070709228516,32.27703857421875,32.48576736450195,32.94117736816406,47920005.0,31.037851333618164
2020-02-27,33.880455017089844,32.35293960571289,32.67552185058594,32.35293960571289,55444827.0,30.483600616455078
2020-02-28,32.20113754272461,30.863378524780273,31.774194717407227,31.707780838012695,66057447.0,29.87571907043457
2020-03-02,33.159393310546875,31.736242294311523,32.17267608642578,33.092979431152344,42034469.0,31.180883407592773
2020-03-03,33.946868896484375,32.12523651123047,33.37760925292969,32.542694091796875,46174475.0,30.662391662597656
